iter	Passed	Remaining
665	9558	487
666	9572	473
667	9585	459
668	9598	444
669	9613	430
670	9628	416
671	9642	401
672	9655	387
673	9670	373
674	9685	358
675	9701	344
676	9716	330
677	9731	315
678	9746	301
679	9761	287
680	9775	272
681	9788	258
682	9802	243
683	9818	229
684	9833	215
685	9847	200
686	9863	186
687	9878	172
688	9894	157
689	9908	143
690	9925	129
691	9976	115
692	10002	101
693	10016	86
694	10030	72
695	10044	57
696	10057	43
697	10071	28
698	10084	14
699	10097	0
